Student ID (last 4 digits), Date, Sign-In Time, Sign-Out Time, Hours Logged
2047,2019-01-22,15:02:23.746052,17:28:27.122523,2.4343
1281,2019-01-22,15:02:26.937916,17:28:19.626532,2.4313
4188,2019-01-22,15:02:50.748147,,0
1889,2019-01-22,15:02:56.189957,16:59:38.899154,1.9452
2222,2019-01-22,15:03:08.956128,16:05:55.248549,1.0462
0809,2019-01-22,15:03:16.850109,15:37:08.968376,0.5645
8415,2019-01-22,15:03:31.440037,16:35:52.662137,1.5392
3646,2019-01-22,15:03:46.828095,16:19:15.552586,1.258
0641,2019-01-22,15:04:01.710099,15:07:17.188469,0.0543
7624,2019-01-22,15:04:42.892195,17:23:04.707541,2.3061
1136,2019-01-22,15:04:47.722095,16:58:36.823241,1.897
7409,2019-01-22,15:04:49.472636,16:38:49.069606,1.5666
7453,2019-01-22,15:04:56.998349,15:49:43.648100,0.7463
2220,2019-01-22,15:05:03.442455,17:20:56.957862,2.2649
5051,2019-01-22,15:05:09.464192,16:38:12.757705,1.5509
2184,2019-01-22,15:05:21.520334,16:59:24.651122,1.9009
4314,2019-01-22,15:05:42.964307,15:37:24.187918,0.5281
9949,2019-01-22,15:05:45.318319,16:50:58.980092,1.7538
3439,2019-01-22,15:05:52.396268,17:37:47.601167,2.532
4201,2019-01-22,15:05:53.704336,15:53:59.287621,0.8016
0969,2019-01-22,15:16:09.494847,17:07:33.875266,1.8568
5917,2019-01-22,15:19:11.900806,16:20:43.746069,1.0255
0898,2019-01-22,16:39:41.571811,17:10:48.322239,0.5185
4201,2019-01-22,17:15:43.895219,17:36:39.239252,0.3487
2220,2019-01-25,14:07:46.919746,17:09:17.078115,3.025
2169,2019-01-25,14:07:49.989091,17:05:30.460696,2.9612
6099,2019-01-25,14:07:54.249103,18:22:00.364059,4.235
9949,2019-01-25,16:02:22.900226,17:34:09.887890,1.5297
1823,2019-01-25,16:02:26.536065,,0
3276,2019-01-25,16:03:01.966744,18:18:37.164761,2.2598
1312,2019-01-25,16:03:13.143203,18:22:11.249653,2.3161
3524,2019-01-25,16:03:18.341289,17:34:41.333833,1.5231
6502,2019-01-25,16:03:25.925387,17:34:16.651883,1.5141
2222,2019-01-25,16:03:35.903482,17:35:03.447763,1.5243
1281,2019-01-25,16:03:37.863512,17:35:48.855735,1.5364
5051,2019-01-25,16:03:39.973499,16:31:11.351610,0.4587
7409,2019-01-25,16:03:41.601532,17:04:03.352870,1.006
0115,2019-01-25,16:03:49.987570,16:40:46.566234,0.6157
8518,2019-01-25,16:03:53.599615,16:58:05.425680,0.9033
6163,2019-01-25,16:03:59.195531,17:29:44.334410,1.4292
1641,2019-01-25,16:04:04.827433,17:29:46.098393,1.4281
1018,2019-01-25,16:04:17.535286,18:11:04.513787,2.113
2395,2019-01-25,16:05:05.660971,18:04:11.354560,1.9849
0644,2019-01-25,16:05:30.396892,18:00:49.509046,1.922
1246,2019-01-25,16:07:53.165264,17:16:34.577696,1.1448
1565,2019-01-25,16:08:00.709173,17:35:18.887730,1.455
0873,2019-01-25,16:08:04.779158,16:58:57.287563,0.8479
6969,2019-01-25,16:08:09.433138,17:34:18.581856,1.4359
3624,2019-01-25,16:08:13.195098,17:34:22.319874,1.4359
0898,2019-01-25,16:08:27.220979,18:01:47.246919,1.8889
5897,2019-01-25,16:10:13.220441,17:05:42.342726,0.9248
